skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
google-calendar-group-scheduler,google-calendar-group-scheduler,F - DOMAIN-SPECIFIC / FUTURE,P3,"Find and rank good meeting times for multiple people using connected Google Calendar data. Use when the user wants to schedule a group meeting, compare candidate slots across several attendees, find the best compromise time, or add a room c","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,broad external access,Park for future integrations,2584
google-calendar-meeting-prep,google-calendar-meeting-prep,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build a practical meeting prep brief from a connected Google Calendar event and its nearby context. Use when the user wants to prepare for an upcoming meeting, understand what to read beforehand, pull in linked notes or docs, or get a conci","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW-MEDIUM,remote dynamic instructions; broad external access,Park for future integrations,1593
google-docs,google-docs,F - DOMAIN-SPECIFIC / FUTURE,P3,"Connector-first Google Docs creation and editing in local Codex plugin sessions, with direct native create and batchUpdate workflows for simple docs, DOCX-first import for polished deliverables, target-document checks, smart chip and buildi","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,20904
google-drive,google-drive,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use connected Google Drive as the single entrypoint for Drive, Docs, Sheets, and Slides work. Use when the user wants to find, fetch, organize, share, export, copy, or delete Drive files, or summarize and edit Google Docs, Google Sheets, an","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,remote dynamic instructions; broad external access,Park for future integrations,6785
google-drive-comments,google-drive-comments,F - DOMAIN-SPECIFIC / FUTURE,P3,"Write, reply to, and resolve Google Drive comments on Docs, Sheets, Slides, and Drive files with evidence-backed location context. Use when the user asks to leave comments, review a file with comments, respond to comment threads, or resolve","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,broad external access,Park for future integrations,4315
google-sheets,google-sheets,F - DOMAIN-SPECIFIC / FUTURE,P3,"Analyze and edit connected Google Sheets with range precision. Use when the user wants to create Google Sheets, find a spreadsheet, inspect tabs or ranges, search rows, plan formulas, create or repair charts, clean or restructure tables, wr","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Park for future integrations,5829
google-slides,google-slides,F - DOMAIN-SPECIFIC / FUTURE,P3,"Google Slides work for finding, reading, summarizing, creating, importing, template following, visual cleanup, source-deck adaptation, structural repair, and content edits in native Slides decks.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,18116
huggingface-gradio,gradio,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Build Gradio web UIs and demos in Python. Use when creating or editing Gradio apps, components, event listeners, layouts, or chatbots.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access,Keep on-demand for infra/deploy,22812
grammar-of-graphics-and-declarative-visualization,grammar-of-graphics-and-declarative-visualization,D - UI/UX,P2,"Build data visualizations with declarative grammars. Use when the user needs Vega-Lite, Vega, Observable Plot, or grammar-of-graphics reasoning, especially for tabular charts that do not require bespoke rendering.","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep for UI work,3312
graph-evolution,graph-evolution,B - TASK-TRIGGERED,P2,>,Use only when its described task is active.,Occasional,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand,11438
gsap,gsap,E - INFRASTRUCTURE / DEPLOYMENT,P2,"GSAP animation reference for HyperFrames. Covers gsap.to(), from(), fromTo(), easing, stagger, defaults, timelines (gsap.timeline(), position parameter, labels, nesting, playback), and performance (transforms, will-change, quickTo). Use whe","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,6330
gtex-eqtl-skill,gtex-eqtl-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Fetch GTEx single-tissue eQTL associations from one variant input by accepting rsID, GRCh37, or GRCh38 input and resolving to the required GRCh38 query for the GTEx v2 API. Use when a user wants eQTL associations returned as JSON.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,1927
guidance-tracker,guidance-tracker,H - IRRELEVANT TO FLOW,P4,Track management guidance accuracy over time for a given company,No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,9849
guidelines-advisor,guidelines-advisor,H - IRRELEVANT TO FLOW,P4,"Smart contract development advisor based on Trail of Bits' best practices. Analyzes codebase to generate documentation/specifications, review architecture, check upgradeability patterns, assess implementation quality, identify pitfalls, rev",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Candidate to disable after approval,8484
gwas-catalog-skill,gwas-catalog-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Submit compact GWAS Catalog REST API v2 requests for studies, associations, SNPs, EFO traits, genes, publications, loci, and metadata. Use when a user wants concise GWAS Catalog summaries","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,2564
harness-writing,harness-writing,E - INFRASTRUCTURE / DEPLOYMENT,P2,>,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,20943
hex,hex,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Search Hex projects and ask Hex Threads questions. Use when the user explicitly references Hex, Hex projects, Hex dashboards, Hex data apps, Hex Threads, or asks to search an existing Hex workspace asset.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,broad external access,Keep on-demand for infra/deploy,3250
heygen-avatar,heygen-avatar,E - INFRASTRUCTURE / DEPLOYMENT,P2,/,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,27951
heygen-video,heygen-video,H - IRRELEVANT TO FLOW,P4,/,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Candidate to disable after approval; review before use with credentials or shell access,38539
hmdb-skill,hmdb-skill,H - IRRELEVANT TO FLOW,P4,"Submit compact HMDB search requests for metabolites, proteins, diseases, and pathways. Use when a user wants concise HMDB summaries",No clear current Flow use case found.,Unlikely,Low,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2144
hubspot,hubspot,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use when working with HubSpot CRM records to search, summarize, create, update, associate, or analyze objects and properties.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW,No notable risky pattern in sampled scan,Park for future integrations,1165
hubspot-crm-data-hygiene,hubspot-crm-data-hygiene,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use when auditing HubSpot data quality for missing fields, stale records, duplicates, associations, owners, or cleanup tasks.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW,No notable risky pattern in sampled scan,Park for future integrations,1751
hubspot-customer-prep,hubspot-customer-prep,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use when preparing HubSpot customer briefs for meetings, renewals, QBRs, sales calls, escalations, handoffs, or follow-ups.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW,No notable risky pattern in sampled scan,Park for future integrations,1420
hubspot-pipeline-health,hubspot-pipeline-health,F - DOMAIN-SPECIFIC / FUTURE,P3,"Use when reviewing HubSpot pipeline health, forecasts, stale deals, slipping close dates, or open deal risks.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW-MEDIUM,remote dynamic instructions,Park for future integrations,1455
human-protein-atlas-skill,human-protein-atlas-skill,H - IRRELEVANT TO FLOW,P4,"Submit compact Human Protein Atlas requests for gene JSON, search downloads, and page-level tissue or cell-line lookups. Use when a user wants concise Human Protein Atlas summaries; save raw JSON or HTML only on request.",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Candidate to disable after approval; review before use with credentials or shell access,2515
hyperframes,hyperframes,D - UI/UX,P2,"Create video compositions, animations, title cards, overlays, captions, voiceovers, audio-reactive visuals, and scene transitions in HyperFrames HTML. Use when asked to build any HTML-based video content, add captions or subtitles synced to","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep for UI work,21366
hyperframes-cli,hyperframes-cli,E - INFRASTRUCTURE / DEPLOYMENT,P2,"HyperFrames CLI tool — hyperframes init, lint, inspect, preview, render, transcribe, tts, doctor, browser, info, upgrade, compositions, docs, benchmark. Use when scaffolding a project, linting, validating, inspecting visual layout in compos","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,6972
hyperframes-registry,hyperframes-registry,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Install and wire registry blocks and components into HyperFrames compositions. Use when running hyperframes add, installing a block or component, wiring an installed item into index.html, or working with hyperframes.json. Covers the add com","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,4256
ib-deck,ib-deck,H - IRRELEVANT TO FLOW,P4,Generate an institutional-grade investment banking pitch deck (HTML),No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,6525
improve-skill,improve-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Turn plugin-eval findings into a concrete rewrite brief for a Codex skill. Use when the user already evaluated a skill and now wants Codex to improve it, especially after asking what to fix first.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,1258
industry,industry,H - IRRELEVANT TO FLOW,P4,Cross-company industry comparison across multiple tickers,No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,7233
inflection,inflection,H - IRRELEVANT TO FLOW,P4,Auto-detect biggest acceleration/deceleration inflections across all,No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,5987
initiate,initiate,H - IRRELEVANT TO FLOW,P4,Initiate coverage — generate both research note (HTML) and Excel model,No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,19996
install-atk,install-atk,B - TASK-TRIGGERED,P2,>,Use only when its described task is active.,Occasional,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Keep on-demand,2670
internal-comms,internal-comms,E - INFRASTRUCTURE / DEPLOYMENT,P2,"A set of resources to help me write all kinds of internal communications, using the formats that my company likes to use. Claude should use this skill whenever asked to write some sort of internal communications (status reports, leadership ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,1511
interpreting-culture-index,interpreting-culture-index,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Interprets Culture Index (CI) surveys, behavioral profiles, and personality assessment data. Supports individual profile interpretation, team composition analysis (gas/brake/glue), burnout detection, profile comparison, hiring profiles, man","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Keep on-demand for infra/deploy,13993
investigation-mode,investigation-mode,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Orchestrated debugging coordinator. Triggers on frustration signals (stuck, hung, broken, waiting) and systematically triages: runtime logs → workflow status → browser verify → deploy/env. Reports findings at every step.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,9246
zoom-contact-center-ios,ios,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Zoom Contact Center SDK for iOS. Use for native iOS chat/video/ZVA/scheduled callback integrations, app lifecycle bridging, rejoin flow, and callback handling.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,1443
ios-app-intents,ios-app-intents,D - UI/UX,P2,"Design App Intents, app entities, and App Shortcuts for iOS system surfaces. Use when exposing app actions or content to Shortcuts, Siri, Spotlight, widgets, or controls.","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,LOW-MEDIUM,broad external access,Keep for UI work,4613
ios-debugger-agent,ios-debugger-agent,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Build, run, and debug iOS apps on Simulator with XcodeBuildMCP. Use when launching an app, inspecting simulator UI or logs, or diagnosing runtime behavior.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,2643
ios-ettrace-performance,ios-ettrace-performance,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Capture and interpret iOS Simulator ETTrace profiles. Use when profiling launch or runtime latency, comparing traces, or finding CPU-heavy stacks.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; global/local config,Keep on-demand for infra/deploy,8832
ios-memgraph-leaks,ios-memgraph-leaks,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Capture and inspect iOS leaks and memgraphs. Use when debugging leaked objects, retain cycles, memory growth, or before/after leak evidence.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,3953
ios-simulator-browser,ios-simulator-browser,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Mirror an iOS Simulator into the Codex in-app browser and render SwiftUI previews from importable Swift packages in that simulator with hot reload. Use when a user wants to watch or interact with an iOS app in the browser, see a SwiftUI pre","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,3251
ipd-skill,ipd-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,Submit compact IPD REST requests for HLA allele and cell-level metadata using the public IPD query API. Use when a user wants concise IPD summaries; save raw JSON or text only on request.,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,2174
irl-tracker,irl-tracker,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,credential handling,Candidate to disable after approval; review before use with credentials or shell access,18826
huggingface-jobs,jobs,E - INFRASTRUCTURE / DEPLOYMENT,P2,"This skill should be used when users want to run any workload on Hugging Face Jobs infrastructure. Covers UV scripts, Docker-based jobs, hardware selection, cost estimation, authentication with tokens, secrets management, timeout configurat","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,31591
json-render,json-render,D - UI/UX,P2,"AI chat response rendering guidance — handling UIMessage parts, tool call displays, streaming states, and structured data presentation. Use when building custom chat UIs, rendering tool results, or troubleshooting AI response display issues","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,LOW,No notable risky pattern in sampled scan,Keep for UI work,10316
kql,kql,E - INFRASTRUCTURE / DEPLOYMENT,P2,"KQL language expertise for writing correct, efficient Kusto Query Language queries. Covers syntax gotchas, join patterns, dynamic types, datetime pitfalls, regex patterns, serialization, memory management, result-size discipline, and advanc","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,18857
launch-readiness-orchestrator,launch-readiness-orchestrator,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,16280
let-fate-decide,let-fate-decide,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Draws the 12 Houses of the Zodiac Tarot spread to inject entropy into planning when prompts are vague, ambiguous, or casually delegated. Interprets the spread to guide next steps. Use when the user says 'let fate decide', 'YOLO', 'whatever'","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep on-demand for infra/deploy,9977
libafl,libafl,D - UI/UX,P2,>,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution,Keep for UI work,16907
libfuzzer,libfuzzer,D - UI/UX,P2,>,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; broad external access,Keep for UI work,23925
linear,linear,F - DOMAIN-SPECIFIC / FUTURE,P3,"Manage issues, projects & team workflows in Linear. Use when the user wants to read, create or updates tickets in Linear.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,4471
zoom-meeting-sdk-linux,linux,D - UI/UX,P2,"Zoom Meeting SDK for Linux - C++ headless meeting bots with raw audio/video access, transcription, recording, and AI integration for server-side automation","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep for UI work,15258
liquid-glass,liquid-glass,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Implement and review macOS SwiftUI Liquid Glass UI. Use when adopting system glass, removing conflicting custom chrome, or building glass surfaces.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,broad external access; global/local config,Keep on-demand for infra/deploy,8668
litigation-update-post,litigation-update-post,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Writes public-facing litigation updates — blog posts, client alerts, LinkedIn/X posts — on a federal case or legal development. Use to \""write a blog post about…,\"" \""draft a client alert on…\","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,7232
huggingface-llm-trainer,llm-trainer,E - INFRASTRUCTURE / DEPLOYMENT,P2,"This skill should be used when users want to train or fine-tune language models using TRL (Transformer Reinforcement Learning) on Hugging Face Jobs infrastructure. Covers SFT, DPO, GRPO and reward modeling training methods, plus GGUF conver","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling,Keep on-demand for infra/deploy,27741
locus-to-gene-mapper-skill,locus-to-gene-mapper-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Map GWAS loci to ranked candidate genes using a deterministic multi-skill chain (EFO -> GWAS -> coordinates -> Open Targets L2G/coloc -> eQTL -> burden/coding context), with reproducible tables and optional figures. Use when a user provides","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,12153
m365-agent-evaluator,m365-agent-evaluator,E - INFRASTRUCTURE / DEPLOYMENT,P2,>,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,8124
m365-agents-dotnet,m365-agents-dotnet,E - INFRASTRUCTURE / DEPLOYMENT,P2,/,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,10045
m365-agents-py,m365-agents-py,E - INFRASTRUCTURE / DEPLOYMENT,P2,/,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,13843
m365-agents-ts,m365-agents-ts,E - INFRASTRUCTURE / DEPLOYMENT,P2,/,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,6879
zoom-meeting-sdk-macos,macos,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,1267
magicpath,magicpath,B - TASK-TRIGGERED,P2,"Use when the user mentions MagicPath, designs, UI components, themes, canvas selections, or repo-to-canvas UI work; run magicpath-ai to search, inspect, install, or author components.",Use only when its described task is active.,Occasional,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep on-demand,6279
marketplace,marketplace,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Marketplace expert guidance — discovering, installing, and building integrations, auto-provisioned environment variables, unified billing, and the vercel integration CLI. Use when consuming third-party services, building custom integ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,18628
mcp-builder,mcp-builder,A - CORE / FREQUENT,P1,"Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools. Use when building MCP servers to integrate external APIs or services, whether in Python (F","Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Keep as core candidate,9059
meeting-scheduler,meeting-scheduler,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Handles end-to-end meeting scheduling using the Superhuman Mail MCP server — from finding available times to sending the invite or proposing times via email. Use this skill whenever someone asks to ""schedule a meeting with [person]"", ""find ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,broad external access,Keep on-demand for infra/deploy,9283
build-zoom-meeting-sdk-app,meeting-sdk,D - UI/UX,P2,Use when using Meeting SDK.,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Low,None obvious,LOW-MEDIUM,credential handling,Keep for UI work,1460
zoom-meeting-sdk-android,meeting-sdk/android,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,Low,Generic nested duplicate basename,LOW-MEDIUM,credential handling,Prefer parent/provider router; disable only if trigger noise appears,1618
zoom-meeting-sdk-electron,meeting-sdk/electron,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,LOW-MEDIUM,credential handling,Prefer parent/provider router; disable only if trigger noise appears,2817
zoom-meeting-sdk-ios,meeting-sdk/ios,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,Low,Generic nested duplicate basename,LOW-MEDIUM,credential handling,Prefer parent/provider router; disable only if trigger noise appears,1233
zoom-meeting-sdk-linux,meeting-sdk/linux,G - DUPLICATE / OVERLAPPING,P3,"Zoom Meeting SDK for Linux - C++ headless meeting bots with raw audio/video access, transcription, recording, and AI integration for server-side automation",Nested generic skill; use only via parent context.,Only through parent/domain,High,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Prefer parent/provider router; disable only if trigger noise appears,15258
zoom-meeting-sdk-macos,meeting-sdk/macos,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,Low,Generic nested duplicate basename,LOW-MEDIUM,credential handling,Prefer parent/provider router; disable only if trigger noise appears,1267
zoom-meeting-sdk-react-native,meeting-sdk/react-native,G - DUPLICATE / OVERLAPPING,P3,"Zoom Meeting SDK for React Native. Use when embedding Zoom meetings in React Native iOS/Android apps with @zoom/meetingsdk-react-native, JWT auth, join/start flows, platform setup, and native bridge troubleshooting.",Nested generic skill; use only via parent context.,Only through parent/domain,Medium,Generic nested duplicate basename,LOW-MEDIUM,credential handling,Prefer parent/provider router; disable only if trigger noise appears,3684
zoom-meeting-sdk-unreal,meeting-sdk/unreal,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,Low,Generic nested duplicate basename,LOW,No notable risky pattern in sampled scan,Prefer parent/provider router; disable only if trigger noise appears,1296
zoom-meeting-sdk-web,meeting-sdk/web,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,High,Generic nested duplicate basename,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Prefer parent/provider router; disable only if trigger noise appears,34301
zoom-meeting-sdk-web-client-view,meeting-sdk/web/client-view,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,High,Generic nested duplicate basename,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Prefer parent/provider router; disable only if trigger noise appears,16632
zoom-meeting-sdk-web-component-view,meeting-sdk/web/component-view,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,High,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling,Prefer parent/provider router; disable only if trigger noise appears,14090
zoom-meeting-sdk-windows,meeting-sdk/windows,G - DUPLICATE / OVERLAPPING,P3,/,Nested generic skill; use only via parent context.,Only through parent/domain,High,Generic nested duplicate basename,MEDIUM,shell/package execution; credential handling; broad external access,Prefer parent/provider router; disable only if trigger noise appears,44374
mermaid-to-proverif,mermaid-to-proverif,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Translates Mermaid sequenceDiagrams describing cryptographic protocols into ProVerif formal verification models (.pv files). Use when generating a ProVerif model, formally verifying a protocol, converting a Mermaid diagram to ProVerif, veri","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,18112
metabolights-skill,metabolights-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,Submit compact MetaboLights requests for study discovery and study-level metabolomics metadata. Use when a user wants concise MetaboLights summaries,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,1891
metric-pack-designer,metric-pack-designer,D - UI/UX,P2,Design custom metric packs for plugin-eval so teams can add local evaluation rubrics that emit schema-compatible checks and metrics. Use when the user wants their own evaluation criteria or visualizations.,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Low,None obvious,LOW-MEDIUM,broad external access,Keep for UI work,984
mgnify-skill,mgnify-skill,H - IRRELEVANT TO FLOW,P4,"Submit compact MGnify API requests for microbiome studies, samples, and biome metadata. Use when a user wants concise MGnify summaries",No clear current Flow use case found.,Unlikely,Low,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,1973
